Symptoms,0
ANC/Antepartum Eclampsia,1
Abdominal Pain ,1
Acute Kidney Injury/Systemic Hypertension/Type 2 Diabetes Mellitus,1
Acute Respiratory distress Syndrome/COVID Pneumonia/Respiratory Failure,1
Anemia/Morbid Obesity/Autism,1
Asymptomatic,160
Breathing Difficulty,4
Breathing Difficulty/Cough,1
Bronchial Asthma,3
Bronchial Asthma/ANC,1
Bronchial Asthma/Depression,1
Cerebellar Astrocytoma/Right Pneumothorax,1
Chronic Hypertension,1
Chronic Kidney Disease/Systemic Hypertension,1
Cough,1
Cough/Breathing Difficulty,7
Cough/Breathing Difficulty/Bilateral Lower Limb Swelling,1
Cough/Breathlessness,1
Cough/Fever/Breathing Difficulty ,1
Cough/Fever/abdominal Pain,1
Cough/breathlessness,2
Diabetes Mellitus,3
Diabetes Mellitus/Systemic Hypertension,1
Down Syndrome/Type 2 Diabetes Mellitus,1
Fever,11
Fever/Breathing Difficulty,10
Fever/Breathing Difficulty/Cough,1
Fever/Cough,12
Fever/Cough ,2
Fever/Cough/Breathing Difficulty,59
Fever/Cough/Breathing Difficulty ,11
Fever/Cough/Breathing Difficulty/Loose stools,1
Fever/Cough/Breathing Difficulty/Right facial Pain,1
Fever/Cough/Breathing Difficulty/headache,1
Fever/Cough/Breathlessness,3
Fever/Cough/Cold/Breathing Difficulty,2
Fever/Cough/Myalgia,1
Fever/Cough/Myalgia/Breathing Difficulty ,1
Fever/Cough/Shortness of breath,1
Fever/Cough/Sore throat/Myalgia/Anosmia/Dysgensia,1
Fever/Cough/breathlessness,1
Fever/Cough/myalgia,1
Fever/Myalgia,1
Fever/Vomiting/Breathing Difficulty/Chest Pain/Loose stools,1
Fever/body Pain,1
Fever/breathlessness ,1
Fever/myalgia,1
Gestational Diabetes Mellitus/Morbid Obesity,1
Gestational Hypertension,1
HIV/AIDS,1
Headache,1
Hepatitis/Bronchopneumonia,1
Hypertension,1
Hypothyroidism,6
Hypothyroidism/Diabetes Mellitus,1
Intellectual Disability,1
Left side cavernous sinus tumor,1
Leukemia,1
Mental Retardation,1
Mitochondrial Cytopathy/Cerebellar Ataxia/seizure,1
Morbid Obesity,1
Morbid obesity,1
Obesity,1
Obesity/Hypothyroidism,1
Pneumonia,1
Post Natal Mother,1
Rheumatic Heart Disease,1
Systemic Hypertension,4
Systemic Hypertension/Chronic Kidney Disease,2
Systemic Hypertension/Hypothyroidism,1
Systemic Hypertension/Hypothyroidism/Type 2 Diabetes Mellitus,1
Systemic Hypertension/Type 2 Diabetes Mellitus/Coronary Artery Disease,1
Takayasu'arthritis,1
Type 2 Diabetes Mellitus,11
Type 2 Diabetes Mellitus/Diabetic Keto Acidosis,1
Type 2 Diabetes Mellitus/Morbid Obesity,1
Type 2 Diabetes Mellitus/Systemic Hypertension,4
Type 2 Diabetes Mellitus/Systemic Hypertension/Chronic Kidney disease,1
Type 2 Diabetes mellitus,1
Type1 Diabetes Mellitus,1
loose stools,1
seizure,2
seizure/Cerebral palsy,1
seizure/Mental Retardation/Ventricular Septal Defect,1
seizure/Pulmonary Tuberculosis,1
