Symptoms,0
 Fever/Cough/Breathing Difficulty,1
Abdominal Discomfort/Vomiting,1
Abdominal Pain,2
Abdominal Pain/Vomiting ,1
Acute Anterior Wall Myocardinal infarction/Hypertension,1
Acute Cerebrovascular Accident,4
Acute Kidney Injury,3
Acute Respiratory distress Syndrome/COVID Pneumonia/Respiratory Failure,1
Altered Sensorium,2
Altered Sensorium ,1
Altered Sensorium/Breathing Difficulty,2
Altered Sensorium/Fever/Breathing Difficulty,1
Anemia,3
Anemia/Renal Failure,1
Asthma,2
Asymptomatic,1412
Atrial Fibrillation,1
Blood Cancer,1
Body Pain/Loss of Appetite,1
Breathing Difficulty,478
Breathing Difficulty ,84
Breathing Difficulty/Altered Sensorium,2
Breathing Difficulty/Altered sensorium,1
Breathing Difficulty/Chest Pain/Altered Sensorium,1
Breathing Difficulty/Cough,9
Breathing Difficulty/Cough/Abdominal discomfort,1
Breathing Difficulty/Cough/Cold,1
Breathing Difficulty/Diarrhoea,1
Breathing Difficulty/Fever,3
Breathing Difficulty/Fever ,1
Breathing Difficulty/Fever/Cough,1
Breathing Difficulty/General Tiredness,1
Breathing Difficulty/Giddiness,2
Breathing Difficulty/Loose stools,2
Breathing Difficulty/Loss of Appetite,2
Breathing Difficulty/Loss of Smell,1
Breathing Difficulty/Myalgia,6
Breathing Difficulty/Myalgia/Headache,1
Breathing Difficulty/Myalgia/Loss of appetite/Giddiness,1
Breathing Difficulty/Nausea/Vomiting,1
Breathing Difficulty/Throat Pain,1
Breathing Difficulty/Tiredness,2
Breathing Difficulty/Tiredness/Body Pain,1
Breathing Difficulty/Vomiting/General Tiredness,1
Breathing Difficulty/Vomiting/loose stools,1
Breathing Difficulty/drowsiness ,1
Breathing Difficulty/loose stools,1
Breathlessness,7
Breathlessness ,3
Breathlessness/Chest Pain,1
Breathlessness/Cough,2
Breathlessness/Headache/Myalgia/Fatigue,1
Breathlessness/tiredness/fatigue ,1
Bronchial Asthma,17
Bronchial Asthma/Chronic obstructive Pulmonary Disease,1
Bronchial Asthma/Coronary Artery Disease,1
Bronchial Asthma/Hypertension,1
Bronchial Asthma/Morbid Obesity/Hypothyroidism,1
Bronchial Asthma/Old Tuberculosis/Coronary Artery Disease,1
Bronchial Asthma/Systemic Hypertension,1
